Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3,Index,IsRework
45,A,1,SMU_01,BsaI,Payload_2,Tag_58,Tag_82,SMu0001,24378533,SMU.01,VIMSS294836,1029426,N,N,N,?,0.19,24.00333,0.060064528035098874,23.83,false,false,false,true,false,false,false,false,false,false,1,true
45,B,1,SMU_05,BsaI,Payload_2,Tag_62,Tag_106,SMu0003,24378535,SMU.05,VIMSS294838,1029438,Y,N,N,Y,0.975,16.83667,0.2161639982514627,15.02,true,false,true,true,true,true,false,true,true,true,4,true
45,C,1,SMU_07,BsaI,Payload_2,Tag_88,Tag_177,SMu0005,24378537,SMU.07,VIMSS294840,1029439,N,N,N,?,1.063,23.83667,0.24904559779562274,19.93,false,false,true,true,true,true,false,false,true,true,6,true
45,D,1,SMU_10,BbsI,Payload_4,Tag_7,Tag_29,SMu0008,24378540,SMU.10,VIMSS294843,1029403,N,N,N,?,1.14,24.00333,0.23119207024228935,19.38,false,false,true,true,true,true,false,false,true,true,9,true
45,E,1,SMU_13,BsaI,Payload_2,Tag_115,Tag_150,SMu0011,24378543,SMU.13,VIMSS294846,1029348,N,N,N,Y,1.121,23.00333,0.24355442615629136,19.3,false,false,true,true,true,true,false,false,true,true,12,true
45,F,1,SMU_15,BsaI,Payload_2,Tag_40,Tag_117,SMu0013,24378545,SMU.15,VIMSS294848,1029422,N,N,N,?,1.333,24.00333,0.30741328833565135,13.79,false,false,true,true,true,true,false,false,true,true,14,true
45,G,1,SMU_18,BsaI,Payload_2,Tag_65,Tag_121,SMu0015,24378547,SMU.18,VIMSS294850,1029373,N,N,N,?,1.045,24.00333,0.21737980345772778,18.65,false,false,true,true,true,true,false,false,true,true,17,true
45,H,1,intergenic_3,BsaI,Payload_2,Tag_86,Tag_135,,,,,,N,N,,,1.055,21.17,0.21592011765186014,17.31,false,false,true,true,true,true,false,false,true,true,18,true
45,A,2,SMU_22,BsaI,Payload_2,Tag_26,Tag_156,SMu0018,24378550,SMU.22,VIMSS294853,1029610,N,N,N,?,1.224,24.00333,0.27060811007648194,14.36,false,false,true,true,true,true,false,false,true,true,21,true
45,B,2,SMU_23,BsaI,Payload_2,Tag_109,Tag_132,SMu0019,24378551,SMU.23,VIMSS294854,1029611,N,N,N,Y,1.047,22.50333,0.23279478180546095,19.06,false,false,true,true,true,true,false,false,true,true,22,true
